//每列含义：appName, roleName, roleFriendlyName, roleDescription, roleModule, roleModuleClass

//DOMAIN, DATA_STANDARD_DIM_CATALOG_VIEW, 查看修饰维度, null, 数据标准, 维度管理
//DOMAIN, DATA_STANDARD_DIM_CATALOG_ADD, 添加修饰维度, null, 数据标准, 维度管理
//DOMAIN, DATA_STANDARD_DIM_CATALOG_VALUE_ADD, 添加值, null, 数据标准, 维度管理
//DOMAIN, DATA_STANDARD_DIM_CATALOG_IMPORT, 由标准代码导入, null, 数据标准, 维度管理
//DOMAIN, DATA_STANDARD_DIM_CATALOG_RENAME, 重命名修饰维度, null, 数据标准, 维度管理
//DOMAIN, DATA_STANDARD_DIM_CATALOG_VALUE_RENAME, 重命名值, null, 数据标准, 维度管理
//DOMAIN, RECOMMENDED_VIEW, 管理, null, 数据标准, 聚合推荐
//DOMAIN, EXAMINATION_VIEW, 管理, null, 数据标准, 自动核标

DOMAIN, SIMILARITY_CHECK_VIEW, 管理, null, 数据标准, 相似度检查

//DOMAIN, DATA_STANDARD_CATEGORY_CREATE, 新建标准组, null, 数据标准, 领域数据标准
//DOMAIN, DATA_STANDARD_CATEGORY_VIEW, 查看, null, 数据标准, 领域数据标准
//DOMAIN, DATA_STANDARD_PARAM_MANAGE, 管理, null, 数据标准, 参数配置

DOMAIN, ABOLISH_STANDARD_VIEW, 管理, null, 数据标准, 废弃标准


DOMAIN, APPLY_VIEW, 查看, null, 数据标准, 批次管理
DOMAIN, APPLY_CONFIRM, 确认, null, 数据标准, 批次管理
DOMAIN, APPLY_DELETE, 删除, null, 数据标准, 批次管理
DOMAIN, APPLY_CONFIRM_MAG, 管理, null, 数据标准, 批次管理

