业务规则,业务信息
业务计算规则,业务信息
质量控制规则,业务信息
例外情况,业务信息
同义词,标准信息
信息类型,业务信息
规则来源类型,业务信息
规则来源信息,业务信息
约束,技术信息
缺省值,技术信息
数据来源,管理信息
系统控制点,管理信息
系统控制要求,管理信息
